train E000:   0% 0/156 [00:00<?, ?it/s.

train E000:  22% 34/156 [00:24<01:04,  1.89it/s, acc=0.1420, loss=5.6294]
train E000:  22% 35/156 [00:24<01:04,  1.89it/s, acc=0.1420, loss=5.6294.

train E000:  22% 35/156 [00:24<01:04,  1.89it/s, acc=0.1455, loss=5.6095]
train E000:  23% 36/156 [00:24<01:03,  1.89it/s, acc=0.1455, loss=5.6095.

train E000:  23% 36/156 [00:25<01:03,  1.89it/s, acc=0.1493, loss=5.5922]
train E000:  24% 37/156 [00:25<01:03,  1.89it/s, acc=0.1493, loss=5.5922.

train E000:  24% 37/156 [00:25<01:03,  1.89it/s, acc=0.1529, loss=5.5731]
train E000:  24% 38/156 [00:25<01:02,  1.88it/s, acc=0.1529, loss=5.5731.

train E000:  24% 38/156 [00:26<01:02,  1.88it/s, acc=0.1565, loss=5.5558]
train E000:  25% 39/156 [00:26<01:02,  1.87it/s, acc=0.1565, loss=5.5558.

train E000:  25% 39/156 [00:26<01:02,  1.87it/s, acc=0.1594, loss=5.5382]
train E000:  26% 40/156 [00:26<01:02,  1.86it/s, acc=0.1594, loss=5.5382.

train E000:  26% 40/156 [00:27<01:02,  1.86it/s, acc=0.1637, loss=5.5194]
train E000:  26% 41/156 [00:27<01:01,  1.86it/s, acc=0.1637, loss=5.5194.

train E000:  26% 41/156 [00:27<01:01,  1.86it/s, acc=0.1666, loss=5.5009]
train E000:  27% 42/156 [00:27<01:00,  1.87it/s, acc=0.1666, loss=5.5009.

train E000:  27% 42/156 [00:28<01:00,  1.87it/s, acc=0.1697, loss=5.4836]
train E000:  28% 43/156 [00:28<00:59,  1.89it/s, acc=0.1697, loss=5.4836.

train E000:  28% 43/156 [00:28<00:59,  1.89it/s, acc=0.1732, loss=5.4616]
train E000:  28% 44/156 [00:28<00:59,  1.89it/s, acc=0.1732, loss=5.4616.

train E000:  28% 44/156 [00:29<00:59,  1.89it/s, acc=0.1771, loss=5.4415]
train E000:  29% 45/156 [00:29<01:00,  1.85it/s, acc=0.1771, loss=5.4415.

train E000:  29% 45/156 [00:30<01:00,  1.85it/s, acc=0.1797, loss=5.4245]
train E000:  29% 46/156 [00:30<00:58,  1.87it/s, acc=0.1797, loss=5.4245.

train E000:  29% 46/156 [00:30<00:58,  1.87it/s, acc=0.1827, loss=5.4093]
train E000:  30% 47/156 [00:30<00:57,  1.88it/s, acc=0.1827, loss=5.4093.

train E000:  30% 47/156 [00:31<00:57,  1.88it/s, acc=0.1854, loss=5.3932]
train E000:  31% 48/156 [00:31<00:56,  1.90it/s, acc=0.1854, loss=5.3932.

train E000:  31% 48/156 [00:31<00:56,  1.90it/s, acc=0.1886, loss=5.3760]
train E000:  31% 49/156 [00:31<00:55,  1.93it/s, acc=0.1886, loss=5.3760.

train E000:  31% 49/156 [00:32<00:55,  1.93it/s, acc=0.1918, loss=5.3610]
train E000:  32% 50/156 [00:32<00:55,  1.92it/s, acc=0.1918, loss=5.3610.

train E000:  32% 50/156 [00:32<00:55,  1.92it/s, acc=0.1949, loss=5.3430]
train E000:  33% 51/156 [00:32<00:54,  1.93it/s, acc=0.1949, loss=5.3430.

train E000:  33% 51/156 [00:33<00:54,  1.93it/s, acc=0.1979, loss=5.3250]
train E000:  33% 52/156 [00:33<00:53,  1.94it/s, acc=0.1979, loss=5.3250.

train E000:  33% 52/156 [00:33<00:53,  1.94it/s, acc=0.2002, loss=5.3112]
train E000:  34% 53/156 [00:33<00:53,  1.93it/s, acc=0.2002, loss=5.3112.

train E000:  34% 53/156 [00:34<00:53,  1.93it/s, acc=0.2036, loss=5.2919]
train E000:  35% 54/156 [00:34<00:54,  1.89it/s, acc=0.2036, loss=5.2919.

train E000:  35% 54/156 [00:34<00:54,  1.89it/s, acc=0.2056, loss=5.2741]
train E000:  35% 55/156 [00:34<00:53,  1.90it/s, acc=0.2056, loss=5.2741.

train E000:  35% 55/156 [00:35<00:53,  1.90it/s, acc=0.2087, loss=5.2604]
train E000:  36% 56/156 [00:35<00:52,  1.91it/s, acc=0.2087, loss=5.2604.

train E000:  36% 56/156 [00:35<00:52,  1.91it/s, acc=0.2115, loss=5.2435]
train E000:  37% 57/156 [00:35<00:51,  1.91it/s, acc=0.2115, loss=5.2435.

train E000:  37% 57/156 [00:36<00:51,  1.91it/s, acc=0.2149, loss=5.2280]
train E000:  37% 58/156 [00:36<00:50,  1.93it/s, acc=0.2149, loss=5.2280.

